project_id,bucket_month,event_type,amount
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-06-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,1848.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-05-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,7872.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-09-01 00:00:00.000000 UTC,ISSUE_COMMENT,2604.0
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,2024-11-01 00:00:00.000000 UTC,STARRED,390.0
07RjBmujQG9SxIMIR384ywzvLfgQdH8gZBXJsYePuWY=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,98444054433728.0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,2024-03-01 00:00:00.000000 UTC,STARRED,930.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-07-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,92304111349165808.0
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,44370508125916688.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-02-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,29862.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-04-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,165.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-11-01 00:00:00.000000 UTC,ISSUE_OPENED,34.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-04-01 00:00:00.000000 UTC,STARRED,79.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-02-01 00:00:00.000000 UTC,FORKED,558.0
07RjBmujQG9SxIMIR384ywzvLfgQdH8gZBXJsYePuWY=,2024-07-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,3.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-06-01 00:00:00.000000 UTC,STARRED,1062.0
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,12967407551402550.0
r06ZetKFJUG0eWrHEAW5wIlDXFDxyiZQdxxSqnmqs0k=,2024-04-01 00:00:00.000000 UTC,FORKED,93.0
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,2024-01-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,200.0
4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,2024-03-01 00:00:00.000000 UTC,STARRED,795.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-05-01 00:00:00.000000 UTC,PULL_REQUEST_OPENED,250.0
